Fichier;Titre_actuel;Auteur_actuel;Score;Confiance;Règles;Titre_corrigé;Auteur_corrigé
Ascension - Vincent Delecroix.epub;Delecroix, Vincent;Ascension;110;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur n'est pas au format standard;Ascension;Delecroix, Vincent
Hérétiques - Leonardo Padura.epub;Padura, Leonardo;Hérétiques;270;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Padura' dans TITRE;Hérétiques;Padura, Leonardo
Anatomie d'un soldat - Harry Parker.epub;Parker, Harry;Anatomie d'un soldat;170;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Parker' dans TITRE;Anatomie d'un soldat;Parker, Harry
Princesse De Landover - Terry Brooks.epub;Brooks, Terry;Princesse De Landover;110;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur n'est pas au format standard;Princesse De Landover;Brooks, Terry
Malédiction des Templiers, La - Raymond Khoury.epub;Khoury, Raymond;Malédiction des Templiers, La;290;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Article défini en fin d'AUTEUR | Nom d'auteur connu 'Khoury' dans TITRE;Malédiction des Templiers, La;Khoury, Raymond
Dernier inventaire avant liquidation - Frédéric Beigbeder.epub;Beigbeder, Frédéric;Dernier inventaire avant liquidation;270;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Beigbeder' dans TITRE;Dernier inventaire avant liquidation;Beigbeder, Frédéric
Diable, Le - Léon Tolstoï.epub;Tolstoï, Léon;Diable, Le;290;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Article défini en fin d'AUTEUR | Nom d'auteur connu 'Tolstoï' dans TITRE;Diable, Le;Tolstoï, Léon
Petite fleur (jamais ne meurt) - Iosi Havilio.epub;Havilio, Iosi;Petite fleur (jamais ne meurt);110;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur n'est pas au format standard;Petite fleur (jamais ne meurt);Havilio, Iosi
Mato Grosso - Ian Manook.epub;Manook, Ian;Mato Grosso;110;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur n'est pas au format standard;Mato Grosso;Manook, Ian
Sous les yeux d'Occident - Joseph Conrad.epub;Conrad, Joseph;Sous les yeux d'Occident;270;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Conrad' dans TITRE;Sous les yeux d'Occident;Conrad, Joseph
