Fichier;Titre_actuel;Auteur_actuel;Score;Confiance;Règles;Titre_corrigé;Auteur_corrigé
Proust,Marcel [A la recherche du temps perdu-13] Albertine disparue (1927) french.zzz.epub;Proust,Marcel;Albertine disparue;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Proust' dans TITRE;Albertine disparue;Proust,Marcel
Sturgeon,Théodore [R-04] Vénus Plus X (1960) Science-fiction .Z.epub;Sturgeon,Théodore;Vénus Plus X;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Sturgeon' dans TITRE;Vénus Plus X;Sturgeon,Théodore
Asimov,Isaac [Fondation-5] Seconde Fondation (1953) french.Alex.epub;Asimov,Isaac;Seconde Fondation;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Asimov' dans TITRE;Seconde Fondation;Asimov,Isaac
Johansen,Iris [] Dernière cible (.) french.zzz.epub;Johansen,Iris;Dernière cible (.);90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Johansen' dans TITRE;Dernière cible (.);Johansen,Iris
Cast,P.C. & Cast,Kristin [La maison de la nuit-02] Trahie (.) Fantastique,Jeunesse .Z.epub;Cast,P.C. & Cast,Kristin;Trahie (.) Fantastique,Jeunesse .Z;60;PROBABLE;Nom d'auteur connu 'Cast' dans TITRE;Trahie (.) Fantastique,Jeunesse .Z;Cast,P.C. & Cast,Kristin
paul_divoi-lespion_x._323-volume_iii_-_du_sang_sur_le_nil.epub;Du Sang sur le Nil;Paul Divoi-lespion X. 323-volume Iii;70;PROBABLE;Auteur n'est pas au format standard | Chiffres dans AUTEUR;Paul Divoi-lespion X. 323-volume Iii;Du Sang sur le Nil
Turgenev,Ivan Sergeyevich [] Dimitri Roudine (1855) french.feed.epub;Turgenev,Ivan Sergeyevich;Dimitri Roudine;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Turgenev' dans TITRE;Dimitri Roudine;Turgenev,Ivan Sergeyevich
Cavanna,François [] Coups de sang (1991) french.zzz.epub;Cavanna,François;Coups de sang;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Cavanna' dans TITRE;Coups de sang;Cavanna,François
Le Rouge,Gustave [] Todd Marvel, détective milliardaire - Tome 1 (1923) french.feed.epub;Le Rouge,Gustave [] Todd Marvel, détective milliardaire;french.feed, Tome 1;80;PROBABLE;Chiffres dans AUTEUR | Mots-clés de titre dans AUTEUR;french.feed, Tome 1;Le Rouge,Gustave [] Todd Marvel, détective milliardaire
Guieu,Jimmy [-152-Blade et Baker-57] Compétition autour de Zandharr.epub;Guieu,Jimmy;Compétition autour de Zandharr;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Guieu' dans TITRE;Compétition autour de Zandharr;Guieu,Jimmy
Guieu,Jimmy [-122-Les chevaliers de lumière-36] Enez Bel - Le réveil de Gradlon (1998) french.zzz.epub;Guieu,Jimmy;Enez Bel - Le réveil de Gradlon;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Guieu' dans TITRE;Enez Bel - Le réveil de Gradlon;Guieu,Jimmy
Hugo,Victor [] Bug-Jargal (1825) french.zzz.epub;Hugo,Victor;Bug-Jargal;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Hugo' dans TITRE;Bug-Jargal;Hugo,Victor
Roberts,Nora [Lieutenant Eve Dallas-13] Fascination du crime.epub;Roberts,Nora;Fascination du crime;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Roberts' dans TITRE;Fascination du crime;Roberts,Nora
